STT,TestID,Group,File,Type,Question,Expected,Actual,Sources,LatencySec,Correctness,Groundedness,Completeness,RetrievalQuality,FormatHandling,HallucinationRisk,Conclusion,ErrorNote
46,B23,B-Detail,Test pptx.pptx,PPTX,B?i gi?ng khuy?n ngh? l?m vi?c t?i thi?u bao l?u ? c?ng c?ng ty?,??3?? / 3 n?m,"Để làm việc tại một công ty ở Nhật Bản, bạn cần hiểu và tuân thủ các quy tắc văn hóa và quy định của công ty. Điều này bao gồm việc hiểu và sử dụng ngôn ngữ Nhật Bản phù hợp, tuân thủ quy định về thời gian làm việc, và tôn trọng các quy tắc về giao tiếp và hành vi trong công sở.  Một số điểm quan trọng cần lưu ý khi làm việc tại Nhật Bản bao gồm:  - Không nên nói về tiền lương ngay từ đầu khi được hỏi về mức lương. - Nên tập trung vào việc thể hiện kỹ năng và kinh nghiệm của mình. - Tôn trọng và hiểu biết về văn hóa Nhật Bản. - Không nên chỉ tập trung vào việc kiếm tiền, mà nên tìm kiếm sự thỏa mãn và ý nghĩa trong công việc.  Tóm lại, để làm việc tại Nhật Bản, bạn cần có sự hiểu biết và tôn trọng về văn hóa và quy định của công ty, cũng như có kỹ năng và kinh nghiệm phù hợp để thể hiện bản thân.","Test pptx.pptx (slide 43) | Test pptx.pptx (slide 6, 企業実習評価表のコメント) | Test pptx.pptx (slide 33)",53.415,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
47,A23,A-Direct,test txt.txt,TXT,Du l?ch sinh th?i l? g??,"Du l?ch g?n v?i thi?n nhi?n, v?n h?a ??a ph??ng v? b?o v? m?i tr??ng","Du lịch sinh thái là hình thức du lịch gắn liền với thiên nhiên, văn hóa địa phương và trách nhiệm bảo vệ môi trường.",test txt.txt (DU LỊCH SINH THÁI Ở VIỆT NAM) | test txt.txt (2. ĐẶC ĐIỂM CỦA DU LỊCH SINH THÁI) | test txt.txt,39.371,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
48,B24,B-Detail,test txt.txt,TXT,C?n Gi? c? vai tr? g? trong h? sinh th?i?,"Khu d? tr? sinh quy?n, b?o v? b? bi?n, h?p th? carbon","Cần Giờ đóng vai trò quan trọng trong việc bảo vệ bờ biển, hấp thụ carbon và duy trì đa dạng sinh học.",test txt.txt | test txt.txt (6. NGUYÊN TẮC PHÁT TRIỂN BỀN VỮNG) | test txt.txt (9. CÂU HỎI KIỂM THỬ MẪU),9.072,5,5,5,5,5,5,Pass,
49,E02,E-Format,Test xlsx.xlsx,XLSX,Workbook Test xlsx c? bao nhi?u sheet v? t?n g??,"3 sheet: Sheet4, Sheet2, Sheet1",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,2.297,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
50,B25,B-Detail,Test xlsx.xlsx,XLSX,"? Sheet1, th? sinh No.1 c? t?ng ?i?m v? k?t qu? g??",34 v? ??,"Ở Sheet1, thí sinh No.1 có 受験番号: KI2; 氏名: のび太　徳田; 性別: 男.","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1)",0.2,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
51,C01,C-Summary,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,T?m t?t file PDF chuy?n ??i s? gi?o d?c trong 5 ? ng?n.,T?m t?t ??ng v? chuy?n ??i s? gi?o d?c,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,27.848,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
52,C02,C-Summary,file_excel_mau_song_xanh.xlsx,XLSX,T?m t?t file Excel s?ng xanh n?y n?i v? d? li?u g?.,Chi?n d?ch s?ng xanh trong tr??ng h?c,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,2.409,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
53,C03,C-Summary,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,T?m t?t n?i dung ?nh storyboard s?c kh?e h?c ???ng.,6 c?nh v? s?c kh?e h?c ???ng,"Câu chuyện trong storyboard mô tả một ngày học của học sinh, bao gồm các bước sau:  1. Hoc sinh bat dau ngay mái (Học sinh bắt đầu ngay buổi sáng) 2. Trong lop, giáo vien nhac ca (Trong lớp, giáo viên nhảy ca) 3. Gid ra choi, nhom ban van (Giáo viên ra chơi, nhóm bàn văn) 4. Bang bura sang du chat thay (Bảng búa sang đồ vật thay) 5. Lopngoi dung tu theva nghi (Lớp ngồi dung túc và nghỉ) 6. Cuoi ngay, hoc sinh ngu (Cuối buổi, học sinh ngủ)  Câu chuyện này nhấn mạnh tầm quan trọng của việc giữ gìn sức khỏe, dinh dưỡng, giấc ngủ, và thời gian học tập hợp lý.",storyboard_mau_suc_khoe_hoc_duong.jpeg (77cbe999090941b2946887ceca3a56bc_storyboard_mau_suc_khoe_hoc_duong.jpeg),0.882,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
54,D01,D-Cross,noi_dung_mau_thanh_pho_xanh.pdf + bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,So s?nh PDF Th?nh ph? Xanh v? PDF qu?n l? r?c th?i nh?a kh?c nhau ? ?i?m n?o?,"M?t file n?i v? ?? th? xanh t?ng qu?t, m?t file n?i v? qu?n l? r?c nh?a khu d?n c?",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,30.476,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
55,D02,D-Cross,ke_hoach_mau_du_lich_da_lat.md + poster_mau_nang_luong_tai_tao.jpg,MD+JPG,Markdown du l?ch ?? L?t v? poster n?ng l??ng t?i t?o c? c?ng ch? ?? kh?ng?,"Kh?ng, m?t file l? du l?ch ?? L?t, m?t file l? n?ng l??ng t?i t?o","Lịch trình du lịch này được thiết kế cho một nhóm bạn trẻ muốn nghỉ ngơi sau thời gian học tập và làm việc căng thẳng. Mục tiêu chính không phải là đi thật nhiều điểm, mà là có đủ thời gian tận hưởng không khí mát mẻ, ăn uống thoải mái, chụp ảnh và trải nghiệm một vài hoạt động nhẹ nhàng.  Lịch trình ưu tiên sự cân bằng giữa tham quan, nghỉ ngơi và linh hoạt thay đổi theo thời tiết. Một mục tiêu khác là kiểm soát chi phí. Nhóm giả định gồm 4 người, di chuyển bằng xe khách từ Thành phố Hồ Chí Minh đến Đà Lạt, thuê xe máy trong nội thành và ở homestay gần trung tâm.  Dưới đây là một số chi tiết cụ thể về lịch trình:  - Ngày cuối nên nhẹ nhàng, bao gồm ăn sáng, đi mua đặc sản, đóng gói hành lý và trả phòng. - Buổi trưa, nhóm ăn nhẹ trước khi ra bến xe. - Nên có mặt tại điểm đón xe sớm hơn giờ khởi hành để tránh rủi ro kẹt xe hoặc quên đồ.  Tóm lại, lịch trình này phù hợp với nhóm muốn có ch",ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 1. Mục tiêu chuyến đi) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 9. Kết luận) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 5. Lịch trình ngày 3: Mua quà và kết thúc chuyến đi),3.219,1,1,1,3,5,3,Fail,Answer mismatch/fallback sai; Ngu?n/citation kh?ng ??ng file k? v?ng
56,D03,D-Cross,infographic_mau_an_toan_mang.png + bao_cao_an_toan_du_lieu_ca_nhan.docx,PNG+DOCX,?nh an to?n m?ng v? DOCX an to?n d? li?u c? nh?n gi?ng nhau ? ?i?m n?o?,??u li?n quan b?o v? th?ng tin/an to?n s?,"Câu hỏi của bạn hỏi về an toàn mạng và DOCX an toàn dữ liệu cá nhân có điểm giống nhau ở điểm nào.  Theo tài liệu, an toàn dữ liệu cá nhân cần được xem là yêu cầu nền tảng trong mọi ứng dụng số. Việc kết hợp kỹ thuật bảo mật, quy trình quản trị và nhận thức người dùng sẽ giúp giảm thiểu rủi ro một cách bền vững.  Tuy nhiên, tài liệu không đề cập trực tiếp đến mối liên hệ giữa an toàn mạng và DOCX an toàn dữ liệu cá nhân. Nhưng có thể suy luận rằng cả hai đều liên quan đến việc bảo vệ dữ liệu cá nhân khỏi các rủi ro như lộ thông tin, bị giả mạo hoặc bị theo dõi trái phép.  Vì vậy, có thể nói rằng an toàn mạng và DOCX an toàn dữ liệu cá nhân có điểm giống nhau ở việc bảo vệ dữ liệu cá nhân khỏi các rủi ro.","bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 5. Kết luận) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 4. Bảng đề xuất biện pháp)",36.347,1,1,1,3,5,3,Fail,Answer mismatch/fallback sai; Ngu?n/citation kh?ng ??ng file k? v?ng
57,F01,F-Negative,ke_hoach_mau_du_lich_da_lat.md,MD,T?i li?u du l?ch ?? L?t c? n?i v? blockchain kh?ng?,Kh?ng t?m th?y blockchain trong t?i li?u,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,30.093,5,5,5,5,5,5,Pass,
58,F02,F-Negative,Test pdf scan.pdf,PDF_SCAN,C? tr?ch ???c th?ng tin li?n h? t? file scan n?y kh?ng?,Kh?ng c? email/s? ?i?n tho?i r? r?ng,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,9.738,5,5,5,5,5,5,Pass,
59,F03,F-Negative,file_excel_mau_song_xanh.xlsx,XLSX,M?t kh?u admin trong file Excel l? g??,Kh?ng t?m th?y trong t?i li?u,M?t kh?u admin trong file Excel l? g.,"file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich) | file_excel_mau_song_xanh.xlsx (sheet Tong_quan, A1:H16) | file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich, A1:L32)",34.91,1,5,1,5,5,1,Fail,Answer mismatch/fallback sai; C? d?u hi?u suy ?o?n ngo?i t?i li?u
60,F04,F-Negative,Test pptx.pptx,PPTX,B?i gi?ng n?y c? email li?n h? n?o?,Kh?ng t?m th?y email li?n h?,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,0.165,5,5,5,5,5,5,Pass,
61,G01,G-Ambiguous,ALL,MIXED,N?i dung ch?nh l? g??,H? th?ng n?n h?i r? t?i li?u ho?c t?ng h?p kh?ng b?a,Câu trả lời chính xác dựa trên tài liệu là:  Nội dung chính là g??,Test md.md (Quy trình cơ bản gồm các bước:) | RETRIEVAL_TESTING_QUESTION_SET.md (Muc tieu:) | RETRIEVAL_TESTING_QUESTION_SET.md (4. Xac dinh vi tri context dung trong Top-3:),0.626,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
62,G02,G-Ambiguous,ALL,MIXED,T?m t?t gi?p t?i.,"H? th?ng n?n h?i r? ph?m vi ho?c t?m t?t theo workspace, kh?ng b?a",Câu hỏi của bạn không rõ ràng và cụ thể. Bạn có thể cung cấp thêm thông tin hoặc cụ thể hóa câu hỏi để tôi có thể trả lời chính xác hơn.,RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination) | content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI),34.983,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
63,H01,H-Distractor,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster n?ng l??ng t?i t?o c? n?i v? du l?ch ?? L?t ??ng kh?ng?,"Kh?ng, poster n?i v? n?ng l??ng t?i t?o, kh?ng ph?i du l?ch ?? L?t",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,0.549,5,5,5,5,5,5,Pass,
64,H02,H-Distractor,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,B?o c?o r?c th?i nh?a c? n?i r?ng t?ng doanh thu l? 78.7M ??ng kh?ng?,"Kh?ng, 78.7M thu?c ?nh doanh thu, kh?ng n?m trong b?o c?o r?c th?i nh?a",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,26.137,5,5,5,5,5,5,Pass,
65,H03,H-Distractor,Test xlsx.xlsx,XLSX,"Trong Test xlsx, th? sinh No.1 c? t?ng doanh thu 78.7M ph?i kh?ng?","Kh?ng, No.1 c? t?ng ?i?m 34 v? k?t qu? ??","Ở Sheet4, thí sinh No.1 có 受験番号: KI2; 氏名: のび太　徳田; 性別: A.","Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000)",0.396,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
