STT,TestID,Group,File,Type,Question,Expected,Actual,Sources,LatencySec,Correctness,Groundedness,Completeness,RetrievalQuality,FormatHandling,HallucinationRisk,Conclusion,ErrorNote
53,C03,C-Summary,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,Tom tat noi dung anh storyboard suc khoe hoc duong.,6 canh ve suc khoe hoc duong,"Câu chuyện trong storyboard ""Sức khỏe học đường"" được chia thành 6 cảnh. Dưới đây là tóm tắt từng cảnh: - Cảnh 1: Học sinh bắt đầu ngày học - Cảnh 2: Giáo viên nhac ca và giáo dục - Cảnh 3: Giáo viên khuyến khích học sinh chơi, nhóm ban van và thảo luận - Cảnh 4: Học sinh nghỉ ngơi sau mỗi tiết học - Cảnh 5: Học sinh được giáo viên hướng dẫn và nhắc nhở về sức khỏe - Cảnh 6: Học sinh được giáo viên nhắc nhở về tầm quan trọng của dinh dưỡng, vận động, giấc ngủ, tư thế học tập và hòa hợp với tâm lý. Thông điệp chính của storyboard này là khuyến khích học sinh duy trì sức khỏe tốt bằng cách duy trì dinh dưỡng, vận động, giấc ngủ, tư thế học tập và hòa hợp với tâm lý. ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Cảnh 1 | Học sinh bắt đầu ngày học | | Cảnh 2 | Giáo viên nhac ca và giáo dục | | Cảnh 3 | Giáo viên khuyến khích học sinh chơi, nhóm ban van và | | Cảnh 4 | Học sinh nghỉ n",storyboard_mau_suc_khoe_hoc_duong.jpeg (77cbe999090941b2946887ceca3a56bc_storyboard_mau_suc_khoe_hoc_duong.jpeg),11.694,5,5,5,5,2,5,Pass,
54,D01,D-Cross,noi_dung_mau_thanh_pho_xanh.pdf + bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,So sanh PDF Thanh pho Xanh va PDF quan ly rac thai nhua khac nhau o diem nao?,"Mot file noi ve do thi xanh tong quat, mot file noi ve quan ly rac nhua khu dan cu",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,10.503,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
55,D02,D-Cross,ke_hoach_mau_du_lich_da_lat.md + poster_mau_nang_luong_tai_tao.jpg,MD+JPG,Markdown du lich Da Lat va poster nang luong tai tao co cung chu de khong?,"Khong, mot file la du lich Da Lat, mot file la nang luong tai tao","Để đi du lịch Đà Lạt và tránh nắng, bạn nên mang theo: - Áo khoác ấm. - Áo mưa mỏng hoặc dù. - Giày dễ đi bộ. - Đồ ngủ thoải mái. - Một bộ đồ đẹp để chụp ảnh. Ngoài ra, bạn cũng nên kiểm tra thời tiết trước khi đi và có kế hoạch dự phòng nếu trời mưa.",ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 8. Rủi ro và phương án xử lý) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 1. Mục tiêu chuyến đi) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 7. Checklist chuẩn bị > Trang phục),19.442,5,1,5,3,5,5,Fail,Nguon/citation khong dung file ky vong
56,D03,D-Cross,infographic_mau_an_toan_mang.png + bao_cao_an_toan_du_lieu_ca_nhan.docx,PNG+DOCX,Anh an toan mang va DOCX an toan du lieu ca nhan giong nhau o diem nao?,Deu lien quan bao ve thong tin/an toan so,"Khi người dùng đăng ký tài khoản, mua sắm, học tập hoặc làm việc trên nền tảng số, nhiều loại dữ liệu như họ tên, số điện thoại, vị trí, lịch sử tìm kiếm và hành vi sử dụng được thu thập. ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | OCR Text | Nội dung chính trong tài liệu | | INFOGRAPHIC MAU | Nội dung chính trong tài liệu | | An toan mang | Nội dung chính trong tài liệu | | g cho sinh vien | Nội dung chính trong tài liệu | | Noi dung minh hoa dai hon, dung de kiem thu nhan dien chu tro | Nội dung chính trong tài liệu | | 1. Mat khau manh | Nội dung chính trong tài liệu | | 2. Xac thuc hai lop | Nội dung chính trong tài liệu | | Khong dung ngay sinh, so dien thoai | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB classDef terminal fill:#0f766e,stroke:#115e59,color:#ffffff,stroke-width:2.4px classDef branch fill:#ecfeff,stroke:#14b8a6,color:#0f172a,st","infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 1. Bối cảnh vấn đề) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 5. Kết luận)",19.469,5,5,5,5,2,5,Pass,
57,F01,F-Negative,ke_hoach_mau_du_lich_da_lat.md,MD,Tai lieu du lich Da Lat co noi ve blockchain khong?,Khong tim thay blockchain trong tai lieu,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,28.74,5,5,5,5,5,5,Pass,
58,F02,F-Negative,Test pdf scan.pdf,PDF_SCAN,Co trich duoc thong tin lien he tu file scan nay khong?,Khong co email/so dien thoai ro rang,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,10.026,5,5,5,5,5,5,Pass,
59,F03,F-Negative,file_excel_mau_song_xanh.xlsx,XLSX,Mat khau admin trong file Excel la gi?,Khong tim thay trong tai lieu,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,0.675,5,5,5,5,5,5,Pass,
60,F04,F-Negative,Test pptx.pptx,PPTX,Bai giang nay co email lien he nao?,Khong tim thay email lien he,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,0.525,5,5,5,5,5,5,Pass,
61,G01,G-Ambiguous,ALL,MIXED,Noi dung chinh la gi?,He thong nen hoi ro tai lieu hoac tong hop khong bia,"| Noi dung doc hai trong tai lieu co the co gang dieu khien mo hinh, he thong phai xem la noi dung thuong. | RQ-DOCX-01 | Test docx.docx | Ten de tai trong bao cao la gi? | Nghien cuu, ung dung mo hinh AI ket hop do thi tri thuc ho tro tra cuu chinh xac luat CNTT. | RQ-MD-07 | Test md.md | Prompt injection trong tai lieu la gi? | FB-01 | So CCCD cua sinh vien trong Test docx.docx la gi?",RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination),35.769,5,5,5,5,5,5,Pass,
62,G02,G-Ambiguous,ALL,MIXED,Tom tat giup toi.,"He thong nen hoi ro pham vi hoac tom tat theo workspace, khong bia",Workspace này đang có nhiều tài liệu. Bạn muốn mình xử lý tài liệu nào? Bạn có thể gọi theo số thứ tự upload hoặc tên file: - Tài liệu 1: AI Document Question Answering System.pptx - Tài liệu 2: bai_trinh_chieu_mau_thu_vien_thong_minh.pptx - Tài liệu 3: bao_cao_an_toan_du_lieu_ca_nhan.docx - Tài liệu 4: bao_cao_mau_chuyen_doi_so_giao_duc.pdf - Tài liệu 5: bao_cao_quan_ly_rac_thai_nhua.pdf - Tài liệu 6: content_summary.md - Tài liệu 7: file_excel_mau_song_xanh.xlsx - Tài liệu 8: infographic_mau_an_toan_mang.png - Tài liệu 9: ke_hoach_mau_du_lich_da_lat.md - Tài liệu 10: nhat_ky_mau_vuon_rau_do_thi.txt - Tài liệu 11: noi_dung_mau_thanh_pho_xanh.pdf - Tài liệu 12: pdf_page_index.md - Tài liệu 13: poster_mau_nang_luong_tai_tao.jpg - Tài liệu 14: RETRIEVAL_TESTING_QUESTION_SET.md - Tài liệu 15: storyboard_mau_suc_khoe_hoc_duong.jpeg - Tài liệu 16: Test docx.docx - Tài liệu 17: Test jpeg.jpeg ,,0.125,5,5,5,5,5,5,Pass,
63,H01,H-Distractor,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster nang luong tai tao co noi ve du lich Da Lat dung khong?,"Khong, poster noi ve nang luong tai tao",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,14.241,5,5,5,5,5,5,Pass,
64,H02,H-Distractor,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Bao cao rac thai nhua co noi rang tong doanh thu la 78.7M dung khong?,"Khong, 78.7M thuoc anh doanh thu, khong nam trong bao cao rac thai nhua",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,13.265,5,5,5,5,5,5,Pass,
65,H03,H-Distractor,Test xlsx.xlsx,XLSX,"Trong Test xlsx, thi sinh No.1 co tong doanh thu 78.7M phai khong?","Khong, No.1 co tong diem 34 va ket qua hop le","Ở Sheet4, thí sinh No.1 có 受験番号: KI2; 氏名: のび太 徳田; 性別: A.","Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1, A1:Z1000)",0.934,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
