ID,File,Loại file,Nhóm,Câu hỏi,Đáp án chuẩn,Câu trả lời hệ thống,Nguồn/Citation,Retrieval,Citation,Answer,Điểm,Hallucination,Mức độ lỗi,Ghi chú,Đề xuất fix,Latency ms
SUM-002,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Summary,"Tóm tắt ngắn file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" trong 3 ý.","Tóm tắt có các ý chính: 10, 13, blocks","Slide 3 - Cho phép người dùng tìm theo nhu cầu, ví dụ: “sách dễ hiểu về mạng máy tính cho người mới”. - Gợi ý cá nhân hóa - Báo cáo vận hành - Đề xuất tài liệu dựa trên lớp học, môn học, lịch sử mượn và chủ đề đang quan tâm. - Thống kê lượt mượn, sách quá hạn, tài liệu phổ biến và xu hướng đọc theo từng tháng. - File PPTX mẫu • 3 - Slide 5.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 4) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 6),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2741.84
SUM-006,content_summary.md,MD,Summary,"Tóm tắt ngắn file ""content_summary.md"" trong 3 ý.","Tóm tắt có các ý chính: 084205002647, test, jpg, png","Dưới đây là tóm tắt ngắn file ""content_summary.md"" trong 3 ý: - Hệ thống áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân và sử dụng GraphRAG để đạt được độ chính xác và khả năng kiểm soát ảo giác cao. - Hệ thống sử dụng Qdrant để thực hiện tìm kiếm ngữ nghĩa với tốc độ cực nhanh và Graph Traversal để tự động thực hiện bước nhảy từ nút Luật qua quan hệ để truy xuất chính xác các chế tài nằm ở văn bản khác. - Hệ thống được đóng gói toàn diện bằng công nghệ Docker để đảm bảo tính đồng nhất và khả năng vận hành ổn định trên mọi hạ tầng. ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Hệ thống áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng 4-tier chu | Nội dung chính trong tài liệu | | Hệ thống sử dụng Qdrant để thực hiện tìm kiếm ngữ nghĩa với t | Nội dung chính trong tài liệu | | Hệ thống được đóng gói toàn diện bằng công nghệ Docker để đảm | Nội dung chính trong tài liệu | | 3.3.1. Độ chính xác và Khả năng kiểm soát ảo giác Accuracy & | Nội dung chính trong tài liệu | | chuong_so | 1, chuong_ten: Quy định chung | | TEXT INDEX entity_name_idx FOR n | Entity ON n.name | | 3.7.4. Tổng hợp và Phản hồi có Căn cứ | Nội dung chính trong tài liệu | | Em",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- TÓM TẮT),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,15591.15
SUM-016,md_01_workshop_thuyet_trinh.md,MD,Summary,"Tóm tắt ngắn file ""md_01_workshop_thuyet_trinh.md"" trong 3 ý.","Tóm tắt có các ý chính: trinh, workshop, thuyet, hoach","1. Thông điệp trung tâm của bài nói là giúp người đọc hiểu và áp dụng các nguyên tắc thiết kế slide hiệu quả. 2. Thiết kế slide theo nguyên tắc ít chữ, rõ ý bao gồm các bước: * Xác định thông điệp chính * Sử dụng hình ảnh và biểu đồ * Sử dụng màu sắc và font chữ phù hợp 3. Luyện mở đầu, chuyển ý và kết luận bao gồm các bước: * Mở đầu bằng câu hỏi hoặc tình huống * Chuyển ý bằng cách sử dụng từ khóa hoặc câu hỏi * Kết luận bằng cách tóm tắt lại thông điệp chính ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Thông điệp trung tâm của bài nói là giúp người đọc hiểu và áp | Nội dung chính trong tài liệu | | Thiết kế slide theo nguyên tắc ít chữ, rõ ý bao gồm các bước | Nội dung chính trong tài liệu | | Xác định thông điệp chính | Nội dung chính trong tài liệu | | Sử dụng hình ảnh và biểu đồ | Nội dung chính trong tài liệu | | Sử dụng màu sắc và font chữ phù hợp | Nội dung chính trong tài liệu | | Luyện mở đầu, chuyển ý và kết luận bao gồm các bước | Nội dung chính trong tài liệu | | Mở đầu bằng câu hỏi hoặc tình huống | Nội dung chính trong tài liệu | | Chuyển ý bằng cách sử dụng từ khóa hoặc câu hỏi | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB cl",md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Nội dung chính) | md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Mục tiêu) | md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Lịch trình) | md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Ghi chú),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,844.35
SUM-022,pdf_page_index.md,MD,Summary,"Tóm tắt ngắn file ""pdf_page_index.md"" trong 3 ý.","Tóm tắt có các ý chính: first, non, empty, lines","Xu hướng và Sự Phát triển Tương Lai của Thị giác Máy tính - Thị giác máy tính đang trải qua một giai đoạn phát triển mạnh mẽ và hứa hẹn sẽ còn - tiếp tục đột phá trong tương lai. - Một số xu hướng và đổi mới đáng chú ý: - Các khái niệm cơ bản về ảnh - Ảnh là một đại diện trực quan của một đối tượng hoặc một cảnh vật, được tạo ra - bằng cách ghi lại ánh sáng phản xạ từ đối tượng đó. - Trong xử lý ảnh, chúng ta ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Thị giác máy tính đang trải qua một giai đoạn phát triển mạnh | Nội dung chính trong tài liệu | | tiếp tục đột phá trong tương lai | Nội dung chính trong tài liệu | | Một số xu hướng và đổi mới đáng chú ý | Nội dung chính trong tài liệu | | Các khái niệm cơ bản về ảnh | Nội dung chính trong tài liệu | | Ảnh là một đại diện trực quan của một đối tượng hoặc một cảnh | Nội dung chính trong tài liệu | | bằng cách ghi lại ánh sáng phản xạ từ đối tượng đó | Nội dung chính trong tài liệu | | Trong xử lý ảnh, chúng ta | Nội dung chính trong tài liệu | | Xu hướng và Sự Phát triển Tương Lai của Thị giác Máy tính | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB classDef terminal fill:#0f766e,stroke:#115e59",pdf_page_index.md (First 3 non-empty lines:) | pdf_page_index.md (- Chương 1:) | pdf_page_index.md (- 1. Biến đổi không gian:),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2177.13
SUM-033,Test md.md,MD,Summary,"Tóm tắt ngắn file ""Test md.md"" trong 3 ý.","Tóm tắt có các ý chính: muc, tieu, tri, tue","Giới hạn dung lượng file. - Kiểm tra MIME type. - Chỉ cho phép định dạng hợp lệ. - Không thực thi file upload. - Lưu file trong vùng an toàn. - Ghi log lỗi khi xử lý thất bại. - <div style=""page-break-after: always;""></div> - Dưới đây là một số câu hỏi có thể dùng để kiểm thử hệ thống trên chính tài liệu này: ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Kiểm tra MIME type | Nội dung chính trong tài liệu | | Chỉ cho phép định dạng hợp lệ | Nội dung chính trong tài liệu | | Không thực thi file upload | Nội dung chính trong tài liệu | | Lưu file trong vùng an toàn | Nội dung chính trong tài liệu | | Ghi log lỗi khi xử lý thất bại | Nội dung chính trong tài liệu | | div style= page-break-after | always; div | | Dưới đây là một số câu hỏi có thể dùng để kiểm thử hệ thống t | Nội dung chính trong tài liệu | | Giới hạn dung lượng file | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB classDef terminal fill:#0f766e,stroke:#115e59,color:#ffffff,stroke-width:2.4px classDef branch fill:#ecfeff,stroke:#14b8a6,color:#0f172a,stroke-width:1.8px classDef detail fill:#ffffff,stroke:#94a3b8,color:#0f172a,stroke-width:1.3px classDef decision fill:#fef3c7,stroke:#f",Test md.md (Một số biện pháp gồm:) | Test md.md (Quy trình cơ bản gồm các bước:) | Test md.md (Các mục tiêu cụ thể gồm: > 1.2. Ý nghĩa thực tiễn) | Test md.md (Trí tuệ nhân tạo trong hệ thống hỏi đáp tài liệu > Mục lục) | Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2196.76
SUM-035,Test pdf.pdf,PDF,Summary,"Tóm tắt ngắn file ""Test pdf.pdf"" trong 3 ý.","Tóm tắt có các ý chính: 1950, 1960, 1970, pdf","Page: 10 - Text: - Xử lý ảnh - Xử lý ảnh là các thuật toán thay đổi hình ảnh đầu vào để tạo 2- Điều chỉnh độ tương phản 3 - Tìm cạnh - hình ảnh mới. - Các ví dụ về xử lý ảnh 4 - Phân vùng 5 - Khôi phục ảnh - 1- Giảm nhiễu - 6 - Nén ảnh ### Sơ đồ quy trình ```mermaid flowchart LR classDef terminal fill:#0f766e,stroke:#115e59,color:#ffffff,stroke-width:2.4px classDef branch fill:#ecfeff,stroke:#14b8a6,color:#0f172a,stroke-width:1.8px classDef detail fill:#ffffff,stroke:#94a3b8,color:#0f172a,stroke-width:1.3px classDef decision fill:#fef3c7,stroke:#f59e0b,color:#7c2d12,stroke-width:1.8px S(""Tổng quan Test<br/>pdf.pdf"") B1[""Xử lý ảnh""] S -->|nhánh 1| B1 B2[""Xử lý ảnh là<br/>các thuật""] S -->|nhánh 2| B2 B3[""hình ảnh mới""] S -->|nhánh 3| B3 B4[""Các ví dụ về<br/>xử lý""] S -->|nhánh 4| B4 B5[""1- Giảm nhiễu""] S -->|nhánh 5| B5 class S,E terminal class B1,B2,B3,B4,B5 branch linkStyle default stroke:#0f766e,stroke-width:2px,fill:none,opacity:0.82 ```.",Test pdf.pdf (trang 4) | Test pdf.pdf (trang 10) | Test pdf.pdf (trang 7) | Test pdf.pdf (trang 8) | Test pdf.pdf (trang 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2207.47
SUM-047,Test xlsx.xlsx,XLSX,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""Test xlsx.xlsx"".","Tổng hợp đúng các ý liên quan: 10, 11, 12, sheet4, used","tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2) | Test xlsx.xlsx (sheet Sheet4)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,214.49
SUM-048,pdf_page_index.md,MD,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""pdf_page_index.md"".","Tổng hợp đúng các ý liên quan: first, non, empty, lines, pdf","Xu hướng và Sự Phát triển Tương Lai của Thị giác Máy tính - Thị giác máy tính đang trải qua một giai đoạn phát triển mạnh mẽ và hứa hẹn sẽ còn - tiếp tục đột phá trong tương lai. - Một số xu hướng và đổi mới đáng chú ý: - Các thư viện và công cụ hỗ trợ cho Thị giác máy tính và Xử lý ảnh - Ưu điểm Nhược điểm - OpenCV - Cộng đồng người dùng lớn, nhiều tài liệu và ví dụ sẵn có. - Ưu điểm và nhược điểm của Thị giác máy tính.",pdf_page_index.md (First 3 non-empty lines:) | pdf_page_index.md (- Chương 1:) | pdf_page_index.md (- Lựa chọn sử dụng thư viện:) | pdf_page_index.md (- 3Giai đoạn bùng nổ:) | pdf_page_index.md (- Q & A),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2168.93
SUM-051,Test pdf.pdf,PDF,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""Test pdf.pdf"".","Tổng hợp đúng các ý liên quan: 1950, 1960, 1970, pdf, nam","Thị giác máy tính đang trải qua một giai đoạn phát triển mạnh mẽ và hứa hẹn sẽ còn - tiếp tục đột phá trong tương lai. - Một số xu hướng và đổi mới đáng chú ý: - 1. - Thị giác máy tính thời gian thực: 5. - Thị giác máy tính tại cạnh mạng: - ● Phần cứng mạnh mẽ: Sự ra đời của các GPU và chip xử lý chuyên dụng ● Giảm độ trễ: Việc xử lý hình ảnh trực tiếp trên các thiết bị - cho AI sẽ giúp tăng tốc đáng kể việc xử lý hình ảnh, mở đường cho các ứng đầu cuối sẽ giúp giảm thiểu độ trễ và cho phép các ứng.",Test pdf.pdf (trang 6) | Test pdf.pdf (trang 2) | Test pdf.pdf (trang 1) | Test pdf.pdf (trang 4) | Test pdf.pdf (trang 5),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2249.16
SUM-052,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".","Tổng hợp đúng các ý liên quan: 10, 13, blocks","Slide 5 - Cải thiện chất lượng thư viện - Ghi chú: dữ liệu càng chuẩn hóa thì khả năng tìm kiếm, thống kê và gợi ý càng chính xác. - File PPTX mẫu • 5 - Slide 1 - LIBRARY - Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. - Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử lý đoạn văn.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 4),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2706.1
SUM-055,AI Document Question Answering System.pptx,PPTX,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""AI Document Question Answering System.pptx"".",Tổng hợp đúng các ý liên quan: blocks,"Slide 2 - Nội dung - Giới thiệu đề tài - Vấn đề thực tế - Giải pháp đề xuất - Kiến trúc tổng thể hệ thống - Chức năng chính - Pipeline xử lý tài liệu ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Nội dung | Nội dung chính trong tài liệu | | Giới thiệu đề tài | Nội dung chính trong tài liệu | | Vấn đề thực tế | Nội dung chính trong tài liệu | | Giải pháp đề xuất | Nội dung chính trong tài liệu | | Kiến trúc tổng thể hệ thống | Nội dung chính trong tài liệu | | Chức năng chính | Nội dung chính trong tài liệu | | Pipeline xử lý tài liệu | Nội dung chính trong tài liệu | | Luồng hỏi đáp AI RAG | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB classDef terminal fill:#0f766e,stroke:#115e59,color:#ffffff,stroke-width:2.4px classDef branch fill:#ecfeff,stroke:#14b8a6,color:#0f172a,stroke-width:1.8px classDef detail fill:#ffffff,stroke:#94a3b8,color:#0f172a,stroke-width:1.3px classDef decision fill:#fef3c7,stroke:#f59e0b,color:#7c2d12,stroke-width:1.8px S(""Tổng quan AI<br/>Document<br/>Question<br/>Answering"") B1[""Nội dung""] S -->|nhánh 1| B1 B2[""Giới thiệu đề<br/>tài""] S -->|nhánh 2| B2 B3[""Vấn đề thực tế""] S -->|nhánh 3| B3 B4[""Giải pháp đề<br/>xuất""] S",AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 8) | AI Document Question Answering System.pptx (slide 5) | AI Document Question Answering System.pptx (slide 4) | AI Document Question Answering System.pptx (slide 9),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2248.93
SUM-056,pptx_01_du_lich_can_tho.pptx,PPTX,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""pptx_01_du_lich_can_tho.pptx"".","Tổng hợp đúng các ý liên quan: 11, 17, 14, blocks, 15",Slide 2 - Buổi tối - điểm dừng chính trong ngày - Ăn tối món địa phương - Dạo chợ đêm - Chuẩn bị đồ cho sáng hôm sau - thời gian nghỉ tối thiểu - Slide 5.,pptx_01_du_lich_can_tho.pptx (slide 2) | pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 1) | pptx_01_du_lich_can_tho.pptx (slide 4) | pptx_01_du_lich_can_tho.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2283.86
SUM-057,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Summary,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""pptx_02_trong_cay_truong_hoc.pptx"".","Tổng hợp đúng các ý liên quan: 10, 14, blocks, 17","Slide 1 - Ý tưởng chính - Chiến dịch kết hợp giáo dục môi trường, hoạt động nhóm và theo dõi cây sau khi trồng. - Mục tiêu không chỉ là trồng nhiều cây mà còn duy trì cây sống tốt. - Xanh hơn - mỗi tuần - Slide 4 - Điều chỉnh lịch tưới theo thời tiết.",pptx_02_trong_cay_truong_hoc.pptx (slide 1) | pptx_02_trong_cay_truong_hoc.pptx (slide 4) | pptx_02_trong_cay_truong_hoc.pptx (slide 3) | pptx_02_trong_cay_truong_hoc.pptx (slide 5) | pptx_02_trong_cay_truong_hoc.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2164.15
CMP-001,"bao_cao_an_toan_du_lieu_ca_nhan.docx, Test jpeg.jpeg",DOCX+JPEG,Comparison,"So sánh nội dung của ""bao_cao_an_toan_du_lieu_ca_nhan.docx"" và ""Test jpeg.jpeg"".",Cần nêu được nội dung của cả hai file: 1. Bối cảnh vấn đề; b8f8ee50acbd45bf99da91f58570d763_Test jpeg.jpeg,"Các tài liệu khác nhau ở phạm vi nội dung chính. bao_cao_an_toan_du_lieu_ca_nhan.docx: 1. Bối cảnh vấn đề; Khi người dùng đăng ký tài khoản, mua sắm, học tập hoặc làm việc trên nền tảng số, nhiều loại dữ liệu như họ tên, số điện thoại, vị trí, lịch sử tìm kiếm và hành vi sử dụng được thu thập. Nếu dữ liệu này không được qu; Test jpeg.jpeg: BAO CAO D0ANH THU THANG05/2026; Monthly Sales Summary.","bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 1. Bối cảnh vấn đề) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 5. Kết luận) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 2. Nguyên nhân chính) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 4. Bảng đề xuất biện pháp)",Một phần,Một phần,Một phần,0.5,Không,Medium,Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,250.21
CMP-004,"Test docx.docx, poster_mau_nang_luong_tai_tao.jpg",DOCX+JPG,Comparison,"So sánh nội dung của ""Test docx.docx"" và ""poster_mau_nang_luong_tai_tao.jpg"".",Cần nêu được nội dung của cả hai file: BÁO CÁO THỰC TẬP TỐT NGHIỆP; 542799e0036a49f8a9f537634345ae76_poster_mau_nang_luong_tai_tao.jpg,"Yêu cầu phi chức năng này đòi hỏi hệ thống phải giảm thiểu tối đa hiện tượng ""ảo giác"" (hallucination) của mô hình ngôn ngữ lớn bằng cách chỉ cho phép sinh nội dung dựa trên ngữ cảnh được truy xuất từ kho dữ liệu gốc. Việc lưu trữ đầy đủ các trường thông tin này cho phép hệ thống không chỉ truy xuất nội dung khớp nhất mà còn có khả năng cung cấp toàn văn điều luật và ngữ cảnh xung quanh, phục vụ cho việc trích dẫn nguồn tin một cách minh bạch và chính xác tuyệt đối ngay trong câu trả lời. Việc phân cấp thông tin này giúp người dùng không chỉ nhận được câu trả lời mà còn có thể ""kiểm chứng chéo"" nguồn gốc dữ liệu, đáp ứng yêu cầu khắt khe về tính xác thực trong lĩnh vực pháp luật. Mỗi câu trả lời của chatbot đều được đính kèm các thuộc tính Metadata trích xuất từ Qdrant và Neo4j như: tên văn bản, số hiệu điều khoản, trạng thái hiệu lực và nội dung trích dẫn gốc. Hệ thống đã chứng minh được năng lực xử lý ngôn ngữ tự nhiên ưu việt khi trình bày các câu trả lời theo cấu trúc mạch lạc: đưa ra kết luận trước, sau đó là lập luận chi tiết và cuối cùng là danh mục căn cứ pháp lý. ### Bảng so sánh | Nhóm nội dung | Chi tiết tiêu biểu | Số ý chính | |---|---|---:| | Hình 3 | Sơ đồ hệ thống G","Test docx.docx (trang 35) | Test docx.docx (trang 16) | Test docx.docx (trang 38) | Test docx.docx (trang 25, 3.6. Thiết kế cơ sở dữ liệu vector > 3.6.1. Cấu trúc Schema và Quản lý Payload) | Test docx.docx (trang 34, 4.7. Xây dựng giao diện)",Một phần,Một phần,Một phần,0.5,Không,Medium,Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2777.29
CMP-011,"poster_mau_nang_luong_tai_tao.jpg, RETRIEVAL_TESTING_QUESTION_SET.md",JPG+MD,Comparison,"So sánh nội dung của ""poster_mau_nang_luong_tai_tao.jpg"" và ""RETRIEVAL_TESTING_QUESTION_SET.md"".",Cần nêu được nội dung của cả hai file: 542799e0036a49f8a9f537634345ae76_poster_mau_nang_luong_tai_tao.jpg; 1) Pham vi bo test,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Bảo toàn context từ từng tài liệu được chọn trước reranking, tránh lệch về một nguồn.",265.24
CMP-012,"Test JPG.jpg, Test md.md",JPG+MD,Comparison,"So sánh nội dung của ""Test JPG.jpg"" và ""Test md.md"".",Cần nêu được nội dung của cả hai file: cb467cc5db3c48429e68a3e690bb161b_Test JPG.jpg; Trí tuệ nhân tạo trong hệ thống hỏi đáp tài liệu,"Ngoài ra, tài liệu cũng có thể dùng để kiểm tra khả năng hiển thị citation và fallback khi người dùng hỏi các thông tin không xuất hiện trong nội dung. Vì vậy, các tài liệu kiểm thử nên có nhiều loại cấu trúc khác nhau như heading, bảng, danh sách, đoạn văn dài, code block và nội dung có thuật ngữ chuyên ngành. Một hệ thống AI Document Chat tốt không chỉ cần mô hình ngôn ngữ mạnh, mà còn cần khả năng xử lý tài liệu đa định dạng, tách nội dung hợp lý, tìm kiếm ngữ nghĩa chính xác, bảo mật dữ liệu và đưa ra câu trả lời dễ hiểu. Tài liệu này có thể dùng làm dữ liệu mẫu để kiểm thử các chức năng như upload Markdown, đọc heading, xử lý bảng, nhận diện code block, chia chunk, tạo embedding, truy xuất theo câu hỏi và sinh câu trả lời có căn cứ. Khi hệ thống xử lý tài liệu, nó cần chia nội dung thành các đoạn nhỏ nhưng vẫn giữ được mối liên kết về ngữ nghĩa. ### Bảng so sánh | Nhóm nội dung | Chi tiết tiêu biểu | Số ý chính | |---|---|---:| | Hỗ trợ upload nhiều loại tài liệu | Nội dung chính | 1 | | Tự động trích xuất nội dung từ tài liệu | Nội dung chính | 1 | | Tạo chỉ mục tìm kiếm ngữ nghĩa | Nội dung chính | 1 | | Truy xuất đúng đoạn tài liệu liên quan | Nội dung chính | 1 | | Sinh câ",Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test md.md (1. Giới thiệu chung) | Test md.md (5. Kỹ thuật RAG trong hỏi đáp tài liệu) | Test md.md (2. Bối cảnh phát triển AI Document Chat) | Test md.md (3. Kiến trúc tổng thể của hệ thống),Một phần,Một phần,Một phần,0.5,Không,Medium,Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2428.92
CMP-018,"RETRIEVAL_TESTING_QUESTION_SET.md, Test pdf scan.pdf",MD+PDF,Comparison,"So sánh nội dung của ""RETRIEVAL_TESTING_QUESTION_SET.md"" và ""Test pdf scan.pdf"".",Cần nêu được nội dung của cả hai file: 1) Pham vi bo test; Page: 1 > File: e4eee1144064466092a3e26cce305d0b_Test pdf scan.pdf,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Bảo toàn context từ từng tài liệu được chọn trước reranking, tránh lệch về một nguồn.",293.24
CMP-019,"Test md.md, Test pdf.pdf",MD+PDF,Comparison,"So sánh nội dung của ""Test md.md"" và ""Test pdf.pdf"".",Cần nêu được nội dung của cả hai file: Trí tuệ nhân tạo trong hệ thống hỏi đáp tài liệu; Page: 1 > File: c4220cd9dc7b4b1292798be9a6c655a0_Test pdf.pdf,"Các tài liệu khác nhau ở phạm vi nội dung chính. Test md.md: Phụ lục C. Đoạn văn bản dài để kiểm thử chunking; Đây là đoạn văn bản bổ sung nhằm tạo thêm dữ liệu cho quá trình kiểm thử chunking. Khi hệ thống xử lý tài liệu, nó cần chia nội dung thành các đoạn nhỏ nhưng vẫn giữ được mối liên kết về ngữ nghĩa. Nếu đoạn văn bị cắt; Test pdf.pdf: Page: 2; Thị giác Máy tính và Xử lý Ảnh là gì?.",Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test pdf.pdf (trang 6) | Test pdf.pdf (trang 4) | Test pdf.pdf (trang 5) | Test md.md (2. Bối cảnh phát triển AI Document Chat),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,400.31
